"Kod";"Nazwa";"Rodzaje udogodnien";"Rok";"Wartosc";"Jednostka miary";"Atrybut"
1600000;"OPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
1600000;"OPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
1600000;"OPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";24;"ob.";""
1600000;"OPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
1600000;"OPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
1600000;"OPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
1800000;"PODKARPACKIE";"pochylnia wjazdowa";"2009";80;"ob.";""
1800000;"PODKARPACKIE";"pochylnia wjazdowa";"2013";106;"ob.";""
1800000;"PODKARPACKIE";"pochylnia wjazdowa";"2017";145;"ob.";""
1800000;"PODKARPACKIE";"pochylnia wjazdowa";"2021";132;"ob.";""
1800000;"PODKARPACKIE";"drzwi automatycznie otwierane";"2009";19;"ob.";""
1800000;"PODKARPACKIE";"drzwi automatycznie otwierane";"2013";43;"ob.";""
1800000;"PODKARPACKIE";"drzwi automatycznie otwierane";"2017";57;"ob.";""
1800000;"PODKARPACKIE";"drzwi automatycznie otwierane";"2021";58;"ob.";""
1800000;"PODKARPACKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
1800000;"PODKARPACKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";56;"ob.";""
1800000;"PODKARPACKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";84;"ob.";""
1800000;"PODKARPACKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";94;"ob.";""
1800000;"PODKARPACKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
1800000;"PODKARPACKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";116;"ob.";""
1800000;"PODKARPACKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
1800000;"PODKARPACKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
1800000;"PODKARPACKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
1800000;"PODKARPACKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";92;"ob.";""
1800000;"PODKARPACKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";105;"ob.";""
1800000;"PODKARPACKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";137;"ob.";""
1800000;"PODKARPACKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";26;"ob.";""
1800000;"PODKARPACKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
1800000;"PODKARPACKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
1800000;"PODKARPACKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
1800000;"PODKARPACKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";80;"ob.";""
1800000;"PODKARPACKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
1800000;"PODKARPACKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
1800000;"PODKARPACKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
2000000;"PODLASKIE";"pochylnia wjazdowa";"2009";48;"ob.";""
2000000;"PODLASKIE";"pochylnia wjazdowa";"2013";64;"ob.";""
2000000;"PODLASKIE";"pochylnia wjazdowa";"2017";70;"ob.";""
2000000;"PODLASKIE";"pochylnia wjazdowa";"2021";66;"ob.";""
2000000;"PODLASKIE";"drzwi automatycznie otwierane";"2009";15;"ob.";""
2000000;"PODLASKIE";"drzwi automatycznie otwierane";"2013";17;"ob.";""
2000000;"PODLASKIE";"drzwi automatycznie otwierane";"2017";30;"ob.";""
2000000;"PODLASKIE";"drzwi automatycznie otwierane";"2021";33;"ob.";""
2000000;"PODLASKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
2000000;"PODLASKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";28;"ob.";""
2000000;"PODLASKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";42;"ob.";""
2000000;"PODLASKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";44;"ob.";""
2000000;"PODLASKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
2000000;"PODLASKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";55;"ob.";""
2000000;"PODLASKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
2000000;"PODLASKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
2000000;"PODLASKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
2000000;"PODLASKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";47;"ob.";""
2000000;"PODLASKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";71;"ob.";""
2000000;"PODLASKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";81;"ob.";""
2000000;"PODLASKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";19;"ob.";""
2000000;"PODLASKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
2000000;"PODLASKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
2000000;"PODLASKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
2000000;"PODLASKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";39;"ob.";""
2000000;"PODLASKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
2000000;"PODLASKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
2000000;"PODLASKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
2200000;"POMORSKIE";"pochylnia wjazdowa";"2009";195;"ob.";""
2200000;"POMORSKIE";"pochylnia wjazdowa";"2013";205;"ob.";""
2200000;"POMORSKIE";"pochylnia wjazdowa";"2017";267;"ob.";""
2200000;"POMORSKIE";"pochylnia wjazdowa";"2021";218;"ob.";""
2200000;"POMORSKIE";"drzwi automatycznie otwierane";"2009";63;"ob.";""
2200000;"POMORSKIE";"drzwi automatycznie otwierane";"2013";90;"ob.";""
2200000;"POMORSKIE";"drzwi automatycznie otwierane";"2017";116;"ob.";""
2200000;"POMORSKIE";"drzwi automatycznie otwierane";"2021";142;"ob.";""
2200000;"POMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
2200000;"POMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";139;"ob.";""
2200000;"POMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";189;"ob.";""
2200000;"POMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";194;"ob.";""
2200000;"POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
2200000;"POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";252;"ob.";""
2200000;"POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
2200000;"POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
2200000;"POMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
2200000;"POMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";159;"ob.";""
2200000;"POMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";218;"ob.";""
2200000;"POMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";252;"ob.";""
2200000;"POMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";95;"ob.";""
2200000;"POMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
2200000;"POMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
2200000;"POMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
2200000;"POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";207;"ob.";""
2200000;"POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
2200000;"POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
2200000;"POMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
2400000;"ŚLĄSKIE";"pochylnia wjazdowa";"2009";136;"ob.";""
2400000;"ŚLĄSKIE";"pochylnia wjazdowa";"2013";166;"ob.";""
2400000;"ŚLĄSKIE";"pochylnia wjazdowa";"2017";187;"ob.";""
2400000;"ŚLĄSKIE";"pochylnia wjazdowa";"2021";152;"ob.";""
2400000;"ŚLĄSKIE";"drzwi automatycznie otwierane";"2009";67;"ob.";""
2400000;"ŚLĄSKIE";"drzwi automatycznie otwierane";"2013";93;"ob.";""
2400000;"ŚLĄSKIE";"drzwi automatycznie otwierane";"2017";109;"ob.";""
2400000;"ŚLĄSKIE";"drzwi automatycznie otwierane";"2021";127;"ob.";""
2400000;"ŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
2400000;"ŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";120;"ob.";""
2400000;"ŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";147;"ob.";""
2400000;"ŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";141;"ob.";""
2400000;"ŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
2400000;"ŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";220;"ob.";""
2400000;"ŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
2400000;"ŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
2400000;"ŚLĄSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
2400000;"ŚLĄSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";215;"ob.";""
2400000;"ŚLĄSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";226;"ob.";""
2400000;"ŚLĄSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";203;"ob.";""
2400000;"ŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";82;"ob.";""
2400000;"ŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
2400000;"ŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
2400000;"ŚLĄSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
2400000;"ŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";154;"ob.";""
2400000;"ŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
2400000;"ŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
2400000;"ŚLĄSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pochylnia wjazdowa";"2009";67;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pochylnia wjazdowa";"2013";84;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pochylnia wjazdowa";"2017";83;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pochylnia wjazdowa";"2021";87;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"drzwi automatycznie otwierane";"2009";16;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"drzwi automatycznie otwierane";"2013";23;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"drzwi automatycznie otwierane";"2017";29;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"drzwi automatycznie otwierane";"2021";30;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";42;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";48;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";57;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";70;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";56;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";68;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";69;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";25;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";47;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
2600000;"ŚWIĘTOKRZYSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pochylnia wjazdowa";"2009";100;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pochylnia wjazdowa";"2013";118;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pochylnia wjazdowa";"2017";108;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pochylnia wjazdowa";"2021";79;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"drzwi automatycznie otwierane";"2009";28;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"drzwi automatycznie otwierane";"2013";38;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"drzwi automatycznie otwierane";"2017";39;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"drzwi automatycznie otwierane";"2021";38;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";52;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";61;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";55;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";131;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";84;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";82;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";83;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";32;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";92;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
2800000;"WARMIŃSKO-MAZURSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
3000000;"WIELKOPOLSKIE";"pochylnia wjazdowa";"2009";132;"ob.";""
3000000;"WIELKOPOLSKIE";"pochylnia wjazdowa";"2013";177;"ob.";""
3000000;"WIELKOPOLSKIE";"pochylnia wjazdowa";"2017";181;"ob.";""
3000000;"WIELKOPOLSKIE";"pochylnia wjazdowa";"2021";146;"ob.";""
3000000;"WIELKOPOLSKIE";"drzwi automatycznie otwierane";"2009";58;"ob.";""
3000000;"WIELKOPOLSKIE";"drzwi automatycznie otwierane";"2013";84;"ob.";""
3000000;"WIELKOPOLSKIE";"drzwi automatycznie otwierane";"2017";84;"ob.";""
3000000;"WIELKOPOLSKIE";"drzwi automatycznie otwierane";"2021";78;"ob.";""
3000000;"WIELKOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
3000000;"WIELKOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";88;"ob.";""
3000000;"WIELKOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";99;"ob.";""
3000000;"WIELKOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";101;"ob.";""
3000000;"WIELKOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
3000000;"WIELKOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";174;"ob.";""
3000000;"WIELKOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
3000000;"WIELKOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
3000000;"WIELKOPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
3000000;"WIELKOPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";144;"ob.";""
3000000;"WIELKOPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";145;"ob.";""
3000000;"WIELKOPOLSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";170;"ob.";""
3000000;"WIELKOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";61;"ob.";""
3000000;"WIELKOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
3000000;"WIELKOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
3000000;"WIELKOPOLSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
3000000;"WIELKOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";135;"ob.";""
3000000;"WIELKOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
3000000;"WIELKOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
3000000;"WIELKOPOLSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pochylnia wjazdowa";"2009";178;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pochylnia wjazdowa";"2013";228;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pochylnia wjazdowa";"2017";247;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pochylnia wjazdowa";"2021";212;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"drzwi automatycznie otwierane";"2009";86;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"drzwi automatycznie otwierane";"2013";118;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"drzwi automatycznie otwierane";"2017";142;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"drzwi automatycznie otwierane";"2021";146;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2013";161;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2017";184;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"winda przystosowana dla osób niepełnosprawnych ruchowo";"2021";191;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2009";;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2013";264;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2017";;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych ruchowo (w tym na wózkach inwalidzkich)";"2021";;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2009";;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2013";169;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2017";221;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"parking z wyznaczonymi miejscami dla osób niepełnosprawnych ruchowo";"2021";218;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2009";118;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2013";;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2017";;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"winda przystosowana dla osób niepełnosprawnych";"2021";;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2009";197;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2013";;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2017";;"ob.";""
3200000;"ZACHODNIOPOMORSKIE";"pokoje/łazienki przystosowane dla osób niepełnosprawnych";"2021";;"ob.";""
